year,FIPS,average_yield
2017,1099,136.42000000000002
2018,1099,147.02
2019,1099,153.42000000000002
2020,1099,148.42000000000002
2021,1099,147.02
2022,1099,160.88
2017,1105,131.44
2018,1105,130.42
2019,1105,133.5
2020,1105,125.82000000000001
2021,1105,131.22
2022,1105,136.97999999999996
2014,1109,84.62
2015,1109,87.80000000000001
2016,1109,91.41999999999999
2017,1109,103.23999999999998
2016,1111,87.42
2017,1111,94.82
2018,1111,96.85999999999999
2019,1111,96.82
2020,1111,92.97999999999999
2021,1111,93.64
2022,1111,102.3
2014,1117,106.47999999999999
2014,1121,131.0
2015,1121,135.68
2014,1125,113.54
2015,1125,121.2
2016,1125,123.2
2017,1125,129.76000000000002
2018,1125,145.74
2019,1125,141.24
2020,1125,146.11999999999998
2021,1125,149.18
2022,1125,156.3
2008,4003,185.26
2008,4013,189.78000000000003
2008,4021,188.98000000000002
2014,5001,176.07999999999998
2015,5001,181.85999999999999
2016,5001,185.3
2017,5001,189.52
2018,5001,190.26
2019,5001,187.85999999999999
2020,5001,188.68
2021,5001,189.08
2022,5001,190.7
2017,5003,190.8
2018,5003,192.6
2019,5003,192.86
2020,5003,187.38000000000002
2021,5003,186.8
2022,5003,186.2
2008,5017,144.8
2009,5017,149.2
2010,5017,150.0
2011,5017,152.16
2012,5017,155.3
2013,5017,159.82
2014,5017,165.42
2015,5017,175.87999999999997
2016,5017,181.26
2017,5017,186.8
2018,5017,185.56
2019,5017,185.04000000000002
2020,5017,182.4
2021,5017,180.09999999999997
2022,5017,179.6
2008,5021,163.6
2009,5021,165.4
2010,5021,165.2
2011,5021,166.6
2012,5021,160.9
2013,5021,162.24
2014,5021,167.62
2015,5021,173.94
2016,5021,178.9
2017,5021,184.58
2018,5021,188.72
2019,5021,188.28
2020,5021,185.01999999999998
2008,5029,142.0
2009,5029,139.4
2010,5029,141.0
2011,5029,141.56
2012,5029,134.84
2008,5031,155.8
2009,5031,159.0
2010,5031,160.6
2011,5031,167.32
2012,5031,167.78
2013,5031,169.2
2014,5031,173.06
2015,5031,176.22
2016,5031,178.28000000000003
2017,5031,185.70000000000002
2018,5031,184.56
2019,5031,185.98000000000002
2020,5031,187.6
2012,5035,154.42000000000002
2019,5035,170.48
2020,5035,166.89999999999998
2021,5035,169.89999999999998
2022,5035,178.9
2008,5041,171.2
2009,5041,173.8
2010,5041,176.8
2011,5041,178.0
2012,5041,176.64000000000001
2013,5041,179.48
2014,5041,184.35999999999999
2015,5041,191.16
2016,5041,193.88000000000002
2017,5041,195.84
2018,5041,194.35999999999999
2019,5041,194.14000000000001
2020,5041,189.70000000000002
2021,5041,188.84
2022,5041,188.84
2017,5043,192.94
2018,5043,192.22
2019,5043,191.61999999999998
2020,5043,187.88
2021,5043,186.76000000000002
2022,5043,185.54000000000002
2008,5055,145.4
2009,5055,148.2
2010,5055,148.6
2011,5055,155.6
2012,5055,148.66
2013,5055,143.18
2014,5055,147.78000000000003
2015,5055,154.48
2016,5055,157.72
2017,5055,169.42000000000002
2018,5055,177.76
2019,5055,177.82000000000002
2020,5055,177.78000000000003
2008,5063,120.2
2009,5063,126.2
2010,5063,129.2
2011,5063,139.2
2012,5063,137.42000000000002
2008,5067,145.2
2009,5067,147.2
2010,5067,147.6
2011,5067,151.6
2012,5067,149.88
2013,5067,153.45999999999998
2014,5067,158.4
2015,5067,162.4
2016,5067,166.17999999999998
2017,5067,166.16000000000003
2018,5067,167.61999999999998
2019,5067,168.07999999999998
2020,5067,169.09999999999997
2021,5067,168.94
2022,5067,176.21999999999997
2008,5069,168.4
2009,5069,166.8
2010,5069,169.0
2011,5069,167.8
2012,5069,163.72
2013,5069,166.64000000000001
2014,5069,174.14000000000001
2015,5069,181.2
2016,5069,187.96
2017,5069,195.42000000000002
2018,5069,194.5
2019,5069,194.34
2020,5069,190.24
2021,5069,187.36
2022,5069,187.18
2008,5073,133.4
2009,5073,136.8
2010,5073,136.4
2011,5073,141.2
2015,5075,158.56
2016,5075,159.38
2017,5075,168.1
2008,5077,155.2
2009,5077,152.8
2010,5077,152.8
2011,5077,154.8
2012,5077,145.92000000000002
2014,5079,171.85999999999999
2015,5079,178.66
2016,5079,184.21999999999997
2017,5079,189.95999999999998
2018,5079,189.42000000000002
2019,5079,190.34
2020,5079,188.97999999999996
2021,5079,183.42
2022,5079,183.32
2008,5081,132.2
2008,5083,137.6
2008,5085,165.0
2009,5085,165.4
2010,5085,168.6
2011,5085,173.4
2012,5085,172.12
2013,5085,171.74
2014,5085,177.7
2015,5085,183.68
2016,5085,186.68
2017,5085,189.90000000000003
2018,5085,189.6
2019,5085,187.09999999999997
2020,5085,183.06
2021,5085,183.21999999999997
2022,5085,186.44
2008,5093,161.2
2009,5093,161.6
2010,5093,165.4
2011,5093,167.8
2012,5093,160.84
2013,5093,160.42000000000002
2014,5093,167.5
2015,5093,173.94
2008,5095,144.6
2009,5095,142.8
2010,5095,146.2
2011,5095,149.8
2012,5095,146.95999999999998
2013,5095,150.04000000000002
2014,5095,157.52
2015,5095,164.95999999999998
2016,5095,172.42
2017,5095,177.54000000000002
2018,5095,178.48
2019,5095,176.64000000000001
2020,5095,173.71999999999997
2021,5095,171.6
2022,5095,173.68
2008,5107,146.0
2009,5107,148.8
2010,5107,151.8
2011,5107,152.7
2012,5107,150.7
2013,5107,151.88
2014,5107,161.26
2015,5107,170.9
2016,5107,178.92
2017,5107,184.47999999999996
2018,5107,182.52
2019,5107,178.27999999999997
2020,5107,170.90000000000003
2021,5107,169.54000000000002
2022,5107,172.88
2012,5111,164.2
2019,5111,188.38
2020,5111,189.64000000000001
2021,5111,187.45999999999998
2022,5111,187.44
2008,5117,166.4
2009,5117,166.6
2010,5117,168.6
2011,5117,171.35999999999999
2012,5117,168.12
2013,5117,172.7
2014,5117,175.68
2015,5117,178.6
2016,5117,182.07999999999998
2008,5121,159.8
2009,5121,161.0
2010,5121,157.4
2011,5121,152.6
2012,5121,142.22
2019,5121,174.3
2020,5121,175.34
2008,5123,154.4
2009,5123,157.4
2010,5123,157.4
2011,5123,161.8
2022,5123,180.68
2015,5145,159.54000000000002
2022,5145,186.45999999999998
2008,5147,141.8
2009,5147,139.6
2010,5147,139.8
2011,5147,146.42000000000002
2012,5147,145.22
2013,5147,149.8
2014,5147,156.2
2015,5147,162.9
2016,5147,165.16
2017,5147,167.88
2018,5147,168.18
2019,5147,172.4
2020,5147,170.35999999999999
2021,5147,177.34
2022,5147,184.22
2008,5149,124.2
2008,6019,175.71999999999997
2008,6021,198.26
2009,6021,207.1
2010,6021,202.95999999999998
2011,6021,208.71999999999997
2012,6021,215.76
2008,6031,180.32
2008,6067,157.08
2009,6067,167.64000000000001
2010,6067,167.68
2011,6067,169.24
2012,6067,172.4
2013,6067,170.38
2014,6067,166.16000000000003
2015,6067,168.95999999999998
2016,6067,167.61999999999998
2008,6077,164.56
2009,6077,170.37999999999997
2010,6077,173.71999999999997
2011,6077,177.73999999999998
2012,6077,181.18
2013,6077,181.57999999999998
2008,6095,182.07999999999998
2009,6095,187.07999999999998
2010,6095,182.0
2011,6095,185.74
2012,6095,189.46
2013,6095,191.42000000000002
2014,6095,192.78000000000003
2015,6095,193.18
2016,6095,184.3
2008,6101,188.1
2008,6113,186.34
2009,6113,190.62
2010,6113,184.8
2011,6113,190.2
2012,6113,188.35999999999999
2013,6113,177.68
2008,8001,113.5
2015,8001,81.34
2016,8001,87.47999999999999
2017,8001,90.96000000000001
2018,8001,94.36
2019,8001,92.32000000000001
2020,8001,78.2
2021,8001,64.12
2022,8001,54.25999999999999
2008,8009,136.5
2008,8011,128.5
2021,8011,158.07999999999998
2022,8011,164.3
2008,8017,89.4
2015,8017,99.82
2016,8017,94.67999999999999
2017,8017,92.6
2018,8017,99.64
2019,8017,97.9
2020,8017,95.66
2021,8017,86.94000000000001
2022,8017,84.19999999999999
2008,8029,170.1
2008,8039,52.2
2008,8063,125.4
2015,8063,107.02000000000001
2016,8063,104.02000000000001
2017,8063,105.2
2018,8063,114.08
2019,8063,119.4
2020,8063,118.97999999999999
2021,8063,112.1
2022,8063,110.22
2008,8069,146.4
2008,8073,62.1
2015,8073,45.86
2016,8073,48.66
2008,8075,128.6
2009,8075,134.1
2010,8075,139.9
2011,8075,145.2
2012,8075,146.12
2013,8075,143.94
2014,8075,142.32
2015,8075,141.9
2008,8077,156.7
2008,8085,167.5
2008,8087,175.0
2008,8089,195.4
2008,8095,135.5
2015,8095,138.92000000000002
2016,8095,137.1
2017,8095,138.68
2018,8095,143.36
2019,8095,144.38
2020,8095,140.18
2021,8095,132.85999999999999
2022,8095,132.22
2008,8099,135.1
2008,8101,174.2
2022,8101,185.46
2015,8115,131.92000000000002
2016,8115,128.86
2017,8115,126.9
2018,8115,132.98
2019,8115,135.44
2020,8115,134.34
2008,8121,97.4
2022,8121,64.7
2008,8123,157.5
2009,8123,164.8
2010,8123,167.9
2011,8123,172.5
2012,8123,174.72
2013,8123,180.16
2014,8123,179.0
2015,8123,177.7
2016,8123,173.96
2017,8123,168.72000000000003
2018,8123,168.06
2019,8123,162.85999999999999
2008,8125,194.6
2009,8125,194.2
2010,8125,192.5
2011,8125,191.6
2012,8125,183.4
2013,8125,182.66
2014,8125,183.82
2015,8125,188.0
2016,8125,188.74
2017,8125,189.94
2018,8125,190.95999999999998
2019,8125,193.2
2020,8125,188.78000000000003
2021,8125,185.1
2022,8125,186.22
2008,10001,131.83999999999997
2009,10001,130.68
2010,10001,132.28
2011,10001,126.03999999999999
2012,10001,121.46000000000001
2013,10001,124.22
2014,10001,136.3
2015,10001,145.78
2016,10001,161.06
2017,10001,171.68
2018,10001,188.14000000000001
2019,10001,183.83999999999997
2020,10001,174.64000000000001
2021,10001,169.07999999999998
2022,10001,170.42
2008,10003,138.04000000000002
2009,10003,135.04000000000002
2010,10003,133.88
2011,10003,126.1
2012,10003,119.35999999999999
2013,10003,121.2
2014,10003,132.6
2015,10003,142.74
2016,10003,157.6
2017,10003,165.71999999999997
2018,10003,173.78000000000003
2019,10003,172.0
2020,10003,166.57999999999998
2021,10003,160.68
2022,10003,164.26
2008,10005,131.44
2009,10005,133.44
2010,10005,130.51999999999998
2011,10005,125.23999999999998
2012,10005,123.75999999999999
2013,10005,134.22
2014,10005,139.82
2015,10005,151.68
2016,10005,167.6
2017,10005,174.18
2018,10005,182.68
2019,10005,178.04000000000002
2020,10005,170.57999999999998
2021,10005,163.66
2022,10005,167.04000000000002
2008,12033,87.96000000000001
2009,12033,96.06
2008,12039,82.72
2009,12039,84.66
2008,12059,81.64
2009,12059,84.7
2008,12063,98.18
2009,12063,111.52000000000001
2008,12079,74.02000000000001
2008,12091,76.42
2009,12091,81.56
2008,12121,86.32000000000001
2008,12131,74.44
2009,12131,77.17999999999999
2008,12133,98.72
2009,12133,104.25999999999999
2008,13001,82.6
2017,13001,165.1
2017,13003,154.71999999999997
2018,13003,158.52000000000004
2019,13003,155.66
2020,13003,154.88000000000002
2021,13003,156.6
2008,13007,162.6
2009,13007,163.8
2010,13007,168.0
2011,13007,174.8
2012,13007,185.85999999999999
2013,13007,194.74
2014,13007,199.24
2015,13007,200.42
2016,13007,198.7
2017,13007,189.35999999999999
2018,13007,184.7
2019,13007,186.83999999999997
2020,13007,190.06
2021,13007,194.34
2022,13007,197.86
2022,13015,169.68
2015,13023,170.76
2008,13025,70.6
2009,13025,65.6
2008,13027,105.6
2009,13027,112.4
2008,13031,99.2
2008,13033,132.6
2009,13033,144.8
2010,13033,145.4
2011,13033,154.7
2012,13033,166.5
2013,13033,181.3
2014,13033,179.72
2015,13033,192.28
2016,13033,195.26000000000002
2017,13033,194.42000000000002
2018,13033,192.46
2019,13033,192.45999999999998
2020,13033,193.7
2021,13033,195.4
2022,13033,198.82
2008,13037,168.4
2009,13037,169.8
2010,13037,171.0
2011,13037,172.0
2012,13037,182.52
2013,13037,198.92000000000002
2014,13037,204.18
2015,13037,205.78000000000003
2016,13037,216.97999999999996
2017,13037,209.1
2018,13037,208.2
2019,13037,208.9
2020,13037,216.11999999999998
2021,13037,217.32000000000002
2022,13037,222.98000000000002
2008,13055,84.8
2009,13055,85.2
2010,13055,85.2
2011,13055,80.2
2012,13055,81.66
2022,13055,161.12000000000003
2008,13069,118.0
2009,13069,118.2
2010,13069,118.0
2011,13069,115.2
2012,13069,116.05999999999999
2013,13069,127.8
2014,13069,136.74
2015,13069,140.07999999999998
2016,13069,149.44
2017,13069,159.16
2018,13069,159.84
2019,13069,154.08
2020,13069,156.98000000000002
2021,13069,157.98
2022,13069,159.68
2008,13071,126.0
2009,13071,138.2
2017,13071,186.1
2018,13071,192.1
2019,13071,191.88000000000002
2020,13071,182.90000000000003
2021,13071,187.24
2008,13075,101.0
2009,13075,107.0
2010,13075,113.4
2011,13075,116.8
2012,13075,113.82000000000001
2013,13075,115.4
2014,13075,126.17999999999999
2008,13081,116.6
2009,13081,134.6
2008,13087,143.8
2009,13087,146.6
2010,13087,152.6
2017,13087,192.71999999999997
2018,13087,189.89999999999998
2008,13091,105.6
2009,13091,105.6
2010,13091,110.2
2011,13091,115.04
2012,13091,135.07999999999998
2013,13091,143.16
2014,13091,153.95999999999998
2008,13099,148.4
2022,13099,192.82
2008,13103,74.4
2008,13107,97.6
2009,13107,91.4
2010,13107,96.4
2011,13107,99.82000000000001
2012,13107,102.36
2013,13107,112.34
2013,13115,102.24
2014,13115,123.08
2016,13129,129.2
2017,13129,114.78
2018,13129,109.23999999999998
2019,13129,119.4
2020,13129,110.82000000000001
2021,13129,110.44000000000001
2022,13129,131.96
2008,13131,112.0
2009,13131,105.8
2010,13131,106.8
2011,13131,108.6
2012,13131,112.05999999999999
2013,13131,126.92
2008,13147,141.2
2008,13155,121.0
2009,13155,118.6
2010,13155,118.0
2017,13155,183.9
2018,13155,180.92000000000002
2019,13155,176.12
2020,13155,175.44
2021,13155,177.57999999999998
2022,13155,177.02
2008,13161,120.0
2008,13163,152.0
2015,13163,199.14000000000001
2016,13163,202.51999999999998
2017,13163,200.24
2018,13163,198.04000000000002
2019,13163,202.96
2020,13163,199.64000000000001
2021,13163,199.76
2015,13165,169.9
2016,13165,177.71999999999997
2017,13165,176.7
2018,13165,180.42000000000002
2019,13165,185.22
2008,13173,91.8
2008,13175,91.4
2008,13185,90.0
2008,13193,133.4
2009,13193,138.4
2010,13193,144.2
2017,13193,182.86
2018,13193,174.58
2019,13193,172.96
2020,13193,175.6
2021,13193,175.16000000000003
2022,13193,184.66000000000003
2008,13197,96.2
2009,13197,91.6
2016,13197,130.32
2017,13197,131.8
2018,13197,130.45999999999998
2008,13201,150.8
2015,13201,193.9
2016,13201,198.61999999999998
2017,13201,191.56
2018,13201,189.6
2019,13201,193.9
2020,13201,195.92000000000002
2021,13201,197.68
2022,13201,199.85999999999999
2008,13205,161.4
2017,13205,191.88
2018,13205,190.32000000000002
2016,13229,151.8
2017,13229,145.61999999999998
2018,13229,144.5
2019,13229,143.82
2020,13229,143.06
2021,13229,144.4
2022,13229,151.48000000000002
2008,13233,98.6
2008,13243,168.6
2022,13243,201.7
2008,13251,107.6
2009,13251,106.8
2010,13251,117.0
2011,13251,118.85999999999999
2012,13251,127.6
2013,13251,141.54000000000002
2014,13251,152.73999999999998
2015,13251,157.17999999999998
2016,13251,168.02000000000004
2017,13251,170.38000000000002
2018,13251,175.21999999999997
2019,13251,175.34
2020,13251,170.95999999999998
2021,13251,170.1
2022,13251,173.33999999999997
2008,13253,165.6
2009,13253,178.4
2010,13253,178.0
2011,13253,184.0
2012,13253,193.38
2013,13253,200.4
2014,13253,196.98
2015,13253,203.34
2016,13253,205.08
2017,13253,200.1
2018,13253,200.88
2019,13253,201.67999999999998
2020,13253,205.11999999999998
2021,13253,211.14000000000001
2022,13253,211.53999999999996
2008,13267,111.2
2015,13267,172.7
2016,13267,168.49999999999997
2017,13273,169.44
2018,13273,174.86
2019,13273,181.58
2020,13273,175.64
2021,13273,176.67999999999998
2022,13273,184.32
2008,13275,97.2
2009,13275,94.4
2019,13275,121.13999999999999
2020,13275,118.0
2021,13275,117.78000000000002
2022,13275,119.32000000000001
2008,13277,121.0
2008,13279,118.6
2015,13279,182.28000000000003
2008,13287,139.8
2009,13287,144.4
2010,13287,147.0
2008,13299,82.8
2015,13299,139.76
2016,13299,149.6
2017,13299,159.24
2014,13303,142.18
2008,13311,111.6
2008,13315,135.4
2008,13321,129.8
2009,13321,125.8
2010,13321,132.6
2011,13321,141.57999999999998
2012,13321,154.18
2013,13321,167.42000000000002
2014,13321,179.44
2015,13321,181.49999999999997
2016,13321,187.82
2017,13321,189.01999999999998
2018,13321,186.64
2019,13321,186.7
2020,13321,190.26
2021,13321,192.3
2022,13321,194.92
2008,16001,160.68
2009,16001,169.12
2008,16027,181.14
2009,16027,189.45999999999998
2021,16027,201.58
2022,16027,209.67999999999998
2008,16045,164.88
2021,16045,210.83999999999997
2022,16045,218.26
2022,16047,215.16
2008,16053,154.04
2021,16063,200.2
2022,16063,202.32
2008,16073,175.66
2009,16073,183.42000000000002
2021,16073,224.2
2022,16073,227.85999999999999
2008,16075,177.02
2009,16075,187.64000000000001
2021,16075,220.66
2022,16075,217.1
2008,17001,157.2
2009,17001,157.2
2010,17001,152.6
2011,17001,151.18
2012,17001,152.54000000000002
2013,17001,135.34
2014,17001,131.8
2015,17001,137.88
2016,17001,145.11999999999998
2017,17001,156.58
2018,17001,179.82
2019,17001,188.72
2020,17001,181.85999999999999
2008,17003,158.0
2009,17003,157.4
2010,17003,156.4
2011,17003,155.56
2008,17005,129.8
2009,17005,136.4
2010,17005,134.6
2011,17005,142.32
2012,17005,143.35999999999999
2008,17007,159.4
2009,17007,162.8
2010,17007,157.4
2011,17007,170.7
2018,17007,191.95999999999998
2019,17007,194.8
2020,17007,192.32
2021,17007,190.54
2022,17007,191.04000000000002
2008,17009,155.6
2009,17009,152.4
2010,17009,146.8
2011,17009,143.7
2012,17009,141.5
2013,17009,128.5
2014,17009,133.34
2015,17009,141.26
2016,17009,148.8
2017,17009,159.85999999999999
2018,17009,180.2
2008,17011,174.0
2009,17011,178.8
2010,17011,176.8
2011,17011,182.94
2012,17011,182.8
2013,17011,172.94
2014,17011,170.32
2015,17011,174.32
2016,17011,180.34
2017,17011,185.66
2018,17011,199.6
2019,17011,205.24
2020,17011,202.01999999999998
2021,17011,202.54
2022,17011,202.45999999999998
2008,17013,155.0
2009,17013,158.2
2010,17013,158.2
2011,17013,162.72
2012,17013,161.98
2008,17015,179.4
2009,17015,181.8
2010,17015,181.8
2011,17015,187.16
2012,17015,186.82
2013,17015,181.0
2014,17015,183.92
2015,17015,185.34
2016,17015,188.21999999999997
2017,17015,197.94
2018,17015,213.95999999999998
2019,17015,217.45999999999998
2020,17015,219.45999999999998
2021,17015,218.56
2022,17015,213.18
2008,17017,173.0
2009,17017,175.4
2010,17017,173.0
2011,17017,174.92000000000002
2012,17017,176.78
2013,17017,160.62
2014,17017,158.44
2015,17017,163.7
2016,17017,170.42000000000002
2017,17017,178.02
2018,17017,194.32
2019,17017,202.2
2020,17017,201.66
2021,17017,206.17999999999998
2022,17017,207.92
2008,17019,179.6
2009,17019,177.8
2010,17019,179.6
2011,17019,180.7
2012,17019,177.52
2013,17019,161.7
2014,17019,160.12
2015,17019,165.42000000000002
2016,17019,169.4
2017,17019,178.62
2018,17019,198.2
2019,17019,208.83999999999997
2020,17019,201.70000000000002
2021,17019,202.35999999999999
2022,17019,204.8
2008,17021,185.2
2009,17021,185.4
2010,17021,184.4
2011,17021,179.6
2012,17021,176.16
2013,17021,163.4
2014,17021,164.76
2015,17021,171.71999999999997
2016,17021,178.26
2017,17021,187.94
2018,17021,206.1
2019,17021,212.71999999999997
2020,17021,208.9
2021,17021,210.57999999999998
2022,17021,213.66
2008,17023,159.6
2009,17023,162.2
2010,17023,157.2
2011,17023,158.62
2012,17023,155.68
2008,17025,129.8
2009,17025,131.2
2010,17025,129.2
2011,17025,135.18
2018,17025,146.32
2019,17025,153.48
2020,17025,146.95999999999998
2021,17025,154.66
2022,17025,165.82
2008,17027,137.8
2009,17027,145.0
2010,17027,143.8
2011,17027,149.34
2012,17027,148.9
2013,17027,128.54000000000002
2014,17027,128.38
2015,17027,134.32
2016,17027,134.21999999999997
2017,17027,140.44
2018,17027,165.9
2019,17027,170.42000000000002
2020,17027,168.26
2021,17027,171.02
2022,17027,181.71999999999997
2008,17029,170.2
2009,17029,170.2
2010,17029,169.0
2011,17029,172.6
2012,17029,169.34
2013,17029,151.0
2014,17029,153.44
2015,17029,160.56
2008,17033,145.6
2009,17033,149.6
2010,17033,145.0
2011,17033,147.04000000000002
2012,17033,148.32
2013,17033,127.25999999999999
2014,17033,125.28000000000002
2015,17033,132.21999999999997
2022,17033,179.06
2008,17035,156.4
2009,17035,158.6
2010,17035,156.8
2011,17035,158.94
2012,17035,158.72
2013,17035,132.38
2014,17035,132.7
2015,17035,139.11999999999998
2016,17035,142.51999999999998
2017,17035,148.82
2008,17037,174.8
2009,17037,178.6
2010,17037,174.8
2011,17037,181.68
2012,17037,182.24
2013,17037,174.7
2014,17037,175.66000000000003
2015,17037,182.28
2016,17037,182.77999999999997
2017,17037,189.14000000000001
2018,17037,198.1
2019,17037,197.4
2020,17037,196.34
2021,17037,197.8
2022,17037,195.22
2008,17039,177.8
2009,17039,177.4
2010,17039,178.8
2011,17039,178.62
2012,17039,178.54000000000002
2008,17041,172.8
2009,17041,170.6
2010,17041,170.0
2011,17041,173.95999999999998
2012,17041,171.07999999999998
2013,17041,154.16
2014,17041,158.38000000000002
2015,17041,167.38000000000002
2016,17041,174.64000000000001
2017,17041,185.64000000000001
2018,17041,208.14000000000001
2019,17041,219.92
2020,17041,213.84
2008,17045,172.8
2009,17045,172.8
2010,17045,168.8
2011,17045,169.45999999999998
2012,17045,166.95999999999998
2013,17045,150.1
2014,17045,153.78000000000003
2015,17045,160.47999999999996
2016,17045,163.84
2017,17045,171.62
2018,17045,193.56
2008,17047,123.2
2009,17047,133.8
2010,17047,132.4
2011,17047,138.9
2012,17047,141.9
2013,17047,127.3
2008,17049,147.8
2009,17049,151.8
2010,17049,150.4
2011,17049,158.18
2012,17049,159.92000000000002
2013,17049,137.9
2014,17049,138.18
2015,17049,144.66
2016,17049,142.56
2017,17049,144.26
2018,17049,173.44
2019,17049,186.0
2020,17049,181.50000000000003
2021,17049,190.18
2022,17049,200.3
2008,17051,135.6
2009,17051,140.4
2010,17051,136.6
2011,17051,145.06
2012,17051,148.44
2013,17051,127.7
2014,17051,128.06
2015,17051,133.72000000000003
2016,17051,132.74
2017,17051,137.76
2008,17053,172.2
2009,17053,173.2
2010,17053,174.0
2011,17053,171.18
2012,17053,165.04000000000002
2013,17053,140.42000000000002
2014,17053,138.22
2015,17053,142.04
2016,17053,145.42
2017,17053,158.76
2018,17053,188.46
2019,17053,196.00000000000003
2020,17053,189.5
2021,17053,195.59999999999997
2022,17053,194.59999999999997
2008,17055,114.8
2009,17055,128.0
2010,17055,130.2
2011,17055,129.07999999999998
2012,17055,126.34
2013,17055,109.75999999999999
2014,17055,114.22
2015,17055,116.48000000000002
2016,17055,124.08000000000001
2017,17055,123.94000000000001
2018,17055,149.32
2019,17055,147.56
2020,17055,142.62
2021,17055,145.48
2022,17055,157.9
2008,17057,165.6
2009,17057,171.0
2010,17057,168.8
2011,17057,170.16
2012,17057,168.4
2013,17057,154.1
2014,17057,149.78
2015,17057,154.42
2016,17057,161.16
2017,17057,169.94
2018,17057,186.76000000000002
2019,17057,196.08
2020,17057,191.6
2021,17057,194.28000000000003
2022,17057,193.88
2008,17059,148.6
2009,17059,153.6
2010,17059,152.8
2011,17059,152.1
2012,17059,150.4
2013,17059,136.14000000000001
2014,17059,142.28
2015,17059,147.8
2016,17059,153.0
2017,17059,155.98000000000002
2018,17059,178.7
2019,17059,174.92000000000002
2020,17059,170.68
2021,17059,172.52
2022,17059,178.97999999999996
2008,17061,155.2
2009,17061,154.0
2010,17061,152.4
2011,17061,157.52
2012,17061,161.85999999999999
2013,17061,150.54000000000002
2014,17061,152.42000000000002
2015,17061,157.98
2016,17061,155.76
2017,17061,161.4
2018,17061,180.79999999999998
2019,17061,188.76
2020,17061,187.33999999999997
2021,17061,195.37999999999997
2022,17061,197.28
2008,17063,164.8
2009,17063,167.6
2010,17063,166.8
2011,17063,174.24
2012,17063,171.35999999999999
2013,17063,154.57999999999998
2014,17063,155.42
2015,17063,162.64000000000001
2016,17063,163.62
2017,17063,174.98
2018,17063,196.5
